id,name,diamond_count,type,combo,is_displayed_on_panel,image_url,panel_order
60077,铁粉应援扇,10,1,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/cb5bc2512623f0454156429f7088973b.png~tplv-obj.webp,463
17661,相伴左右,199,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/14b52e1933131d94a2634acf1625559d.png~tplv-obj.webp,464
60075,铁粉应援,2500,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/e361cafb0a92f7994442b9e72a6379e1.png~tplv-obj.webp,465
973086,铁钓竿,1000,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/a9e5eac5141ca8e358d11e56e7b05468.png~tplv-obj.webp,466
1143822,风暴战甲,8999,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/b7b811f753b8a272bce47615f9ba7de4.png~tplv-obj.webp,467
51281,DJ 黑胶唱片,10,1,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/0b666a386478756d9988cfa73ab20a71.png~tplv-obj.webp,468
973040,海星,1,1,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/279903174b4ca8e1c7a78e649af65bcc.png~tplv-obj.webp,469
59994,众人欢呼,5000,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/f8801f079c04aa58e0e732340f393740.png~tplv-obj.webp,470
56080,萌崽突袭,2999,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/abd6c56f59d4f7e097fd7dcd32995ef6.png~tplv-obj.webp,471
13059,热爱 KSA,1,1,true,false,https://p16-webcast.tiktokcdn.com/img/maliva/webcast-va/resource/15e67a2aa48cc4d3877a2715d5bec0f7.png~tplv-obj.webp,472
1143821,深海试炼,4999,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/13798ad9363a9008c9f90d59bea72e60.png~tplv-obj.webp,473
8603,豹,15000,2,true,false,https://p16-webcast.tiktokcdn.com/img/maliva/webcast-va/resource/3d837cfcac70929abc0f45e4dc7cee04.png~tplv-obj.webp,474
17712,社区连心,1,1,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/dad7a63955f98891958e37071bb067f3.png~tplv-obj.webp,475
9355,好可爱,1,1,true,false,https://p16-webcast.tiktokcdn.com/img/maliva/webcast-va/resource/d40d31241efcf57c630e894bb3007b8a.png~tplv-obj.webp,476
10065,大猩猩,30000,2,true,false,https://p16-webcast.tiktokcdn.com/img/maliva/webcast-va/resource/57619959bddbe35d8c684750a1d41d62.png~tplv-obj.webp,477
440699,初始森林,199,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/090f59b8da3d5d807c09fc4d47dad3eb.png~tplv-obj.webp,478
54725,萌鸡贴贴,500,4,false,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/f1b0b043890f33ba610f2b30fffad49f.png~tplv-obj.webp,479
18337,定胜之锤,14999,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/52d8c2e23c1800e85ad621e431220724.png~tplv-obj.webp,480
